Study_id,Instance,Monomer_A,Monomer_B,Monomer_C,3HB_ratio,3HV_ratio,4HV_ratio,Mw,Units_Mw,Mn,Units_Mn,PDI,Shape,Diameter,Diameter_Units,Length,Units_Length,Thickness,Units_Thickness,Zeta_Potential,Units_Zeta_Potential,Additive1,Additive1_Name,Additive1_Percentage,Additive1_Use,Additive2_Name,Additive2_Percentage,Additive2_Use,Additive3_Name,Additive3_Percentage,Additive3_Use,Polymer_Percentage,Species_Name,Species_Group,Initial_Organism_Age,Units_Initial_Organism_Age,Initial_Organism_Size,Units_Initial_Organism_Size,Exposure_type,Media_type,Test_location,Tested_Concentration,Units_Tested_Concentration,Observation_Period,Units_Observation_Period,Exposure_Regime,EC_10,EC_10_Units,EC_20,EC_20_Units,EC_50,EC_50_Units,Toxic_Units,LC_50,LC_50_Units,LD_50,LD_50_Units,Mortality_Percentage,Body_Mass_Change_Percentage,Size_Increase,Size_Increase_Units,Number_of_Juveniles,Number_of_Cocoons,SGI_Percentage,Survival_rate_percentage,Normal_Plutei_Percentage,SGR,SGR_Units,WG,WG_Units,Plant_Height,Plant_Height_Units,Shoot_Biomass,Shoot_Biomass_Units,Foliar_C_N_ratio,Plant_Growth,Toxicity_Grade,Toxicity_Classification
1,1,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,21.0,nm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Mouse,Air_Breathing_Animals,,,,,Orally,,Lab,125.0,mg/kg,1.0,days,Acute,,,,,,,,,,1500.0,mg/kg,0.0,,,,,,,,,,,,,,,,,,,0,Non_Toxic
1,2,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,21.0,nm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Mouse,Air_Breathing_Animals,,,,,Orally,,Lab,250.0,mg/kg,1.0,days,Acute,,,,,,,,,,1500.0,mg/kg,0.0,,,,,,,,,,,,,,,,,,,0,Non_Toxic
1,3,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,21.0,nm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Mouse,Air_Breathing_Animals,,,,,Orally,,Lab,500.0,mg/kg,1.0,days,Acute,,,,,,,,,,1500.0,mg/kg,0.0,,,,,,,,,,,,,,,,,,,0,Non_Toxic
1,4,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,21.0,nm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Mouse,Air_Breathing_Animals,,,,,Orally,,Lab,1000.0,mg/kg,1.0,days,Acute,,,,,,,,,,1500.0,mg/kg,25.0,,,,,,,,,,,,,,,,,,,1,Moderately_Toxic
1,5,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,21.0,nm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Mouse,Air_Breathing_Animals,,,,,Orally,,Lab,1500.0,mg/kg,1.0,days,Acute,,,,,,,,,,1500.0,mg/kg,50.0,,,,,,,,,,,,,,,,,,,2,Toxic
1,6,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,21.0,nm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Mouse,Air_Breathing_Animals,,,,,Orally,,Lab,2000.0,mg/kg,1.0,days,Acute,,,,,,,,,,1500.0,mg/kg,75.0,,,,,,,,,,,,,,,,,,,2,Toxic
2,1,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,198.7,nm,,,,,-18.2,mV,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Hydra_Viridissima,Aquatic_Organisms,,,,,Waterborne,Artificial_Freshwater,Lab,0.001,mg/L,8.0,days,Chronic,,,10.9,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Non_Toxic
2,2,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,198.7,nm,,,,,-18.2,mV,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Hydra_Viridissima,Aquatic_Organisms,,,,,Waterborne,Artificial_Freshwater,Lab,0.01,mg/L,8.0,days,Chronic,,,10.9,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Non_Toxic
2,3,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,198.7,nm,,,,,-18.2,mV,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Hydra_Viridissima,Aquatic_Organisms,,,,,Waterborne,Artificial_Freshwater,Lab,0.1,mg/L,8.0,days,Chronic,,,10.9,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Non_Toxic
2,4,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,198.7,nm,,,,,-18.2,mV,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Hydra_Viridissima,Aquatic_Organisms,,,,,Waterborne,Artificial_Freshwater,Lab,1.0,mg/L,8.0,days,Chronic,,,10.9,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Non_Toxic
2,5,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,198.7,nm,,,,,-18.2,mV,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Hydra_Viridissima,Aquatic_Organisms,,,,,Waterborne,Artificial_Freshwater,Lab,10.0,mg/L,8.0,days,Chronic,,,10.9,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Moderately_Toxic
3,1,3HB,3HV,,,0.0,0.0,,,,,,Granules,2.5,mm,3.0,mm,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,85.0,Eisenia_Andrei,Terrestrial_Invertebrate,,,,,,Artificial_Soil,,1.0,g/kg,28.0,days,Chronic,,,,,,,,,,,,,,,,5.0566037735849,2.29755178907721,,,,,,,,,,,,,,0,Non_Toxic
3,2,3HB,3HV,,,0.0,0.0,,,,,,Granules,2.5,mm,3.0,mm,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,85.0,Eisenia_Andrei,Terrestrial_Invertebrate,,,,,,Artificial_Soil,,5.0,g/kg,28.0,days,Chronic,,,,,,,,,,,,,,,,6.75471698113207,3.33333333333333,,,,,,,,,,,,,,0,Non_Toxic
3,3,3HB,3HV,,,0.0,0.0,,,,,,Granules,2.5,mm,3.0,mm,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,85.0,Eisenia_Andrei,Terrestrial_Invertebrate,,,,,,Artificial_Soil,,25.0,g/kg,28.0,days,Chronic,,,,,,,,,,,,,,,,7.0188679245283,4.01129943502824,,,,,,,,,,,,,,0,Non_Toxic
3,4,3HB,3HV,,,0.0,0.0,,,,,,Granules,2.5,mm,3.0,mm,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,85.0,Eisenia_Andrei,Terrestrial_Invertebrate,,,,,,Artificial_Soil,,125.0,g/kg,28.0,days,Chronic,,,,,,,,,,,,,,,,8.33962264150943,3.03201506591337,,,,,,,,,,,,,,0,Non_Toxic
3,5,3HB,3HV,,,0.0,0.0,,,,,,Granules,2.5,mm,3.0,mm,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,85.0,Eisenia_Andrei,Terrestrial_Invertebrate,,,,,,Artificial_Soil,,1.0,g/kg,56.0,days,Chronic,,,,,,,,,,,,,73.2965009208103,,,,,,97.2366148531951,,,,,,,,,,,,0,Non_Toxic
3,6,3HB,3HV,,,0.0,0.0,,,,,,Granules,2.5,mm,3.0,mm,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,85.0,Eisenia_Andrei,Terrestrial_Invertebrate,,,,,,Artificial_Soil,,5.0,g/kg,56.0,days,Chronic,,,,,,,,,,,,,76.2430939226519,,,,,,100.0,,,,,,,,,,,,0,Non_Toxic
3,7,3HB,3HV,,,0.0,0.0,,,,,,Granules,2.5,mm,3.0,mm,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,85.0,Eisenia_Andrei,Terrestrial_Invertebrate,,,,,,Artificial_Soil,,25.0,g/kg,56.0,days,Chronic,,,,,,,,,,,,,84.1620626151012,,,,,,96.8911917098445,,,,,,,,,,,,0,Non_Toxic
3,8,3HB,3HV,,,0.0,0.0,,,,,,Granules,2.5,mm,3.0,mm,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,85.0,Eisenia_Andrei,Terrestrial_Invertebrate,,,,,,Artificial_Soil,,125.0,g/kg,56.0,days,Chronic,,,,,,,,,,,,,67.7716390423572,,,,,,100.0,,,,,,,,,,,,1,Moderately_Toxic
4,1,3HB,,,100.0,0.0,0.0,350200.0,g/mol,299316.2393162393,,1.17,Film,,,,,0.15,mm,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Sinapis_Alba_L,Terrestrial_Plant,,,,,Soil,Standard_soil_with_5_compost,Lab,,,3.0,days,Acute,,,,,,,,,,,,,,,,,,-98.96,,,,,,,,,,,,,0,Non_Toxic
4,2,3HB,,,100.0,0.0,0.0,350200.0,g/mol,299316.2393162393,,1.17,Film,,,,,0.15,mm,,,Yes,PHA,50.0,Plasticizer,GS_L,0.0,Natural_Antioxidant,Joncryl_ADR_4468,2.0,Chain_Extender,50.0,Sinapis_Alba_L,Terrestrial_Plant,,,,,Soil,Standard_soil_with_5_compost,Lab,,,3.0,days,Acute,,,,,,,,,,,,,,,,,,-99.45,,,,,,,,,,,,,0,Non_Toxic
4,3,3HB,,,100.0,0.0,0.0,350200.0,g/mol,299316.2393162393,,1.17,Film,,,,,0.15,mm,,,Yes,PHA,48.5,Plasticizer,GS_L,1.0,Natural_Antioxidant,Joncryl_ADR_4468,2.0,Chain_Extender,48.5,Sinapis_Alba_L,Terrestrial_Plant,,,,,Soil,Standard_soil_with_5_compost,Lab,,,3.0,days,Acute,,,,,,,,,,,,,,,,,,-98.99,,,,,,,,,,,,,0,Non_Toxic
4,4,3HB,,,100.0,0.0,0.0,350200.0,g/mol,299316.2393162393,,1.17,Film,,,,,0.15,mm,,,Yes,PHA,46.5,Plasticizer,GS_L,5.0,Natural_Antioxidant,Joncryl_ADR_4468,2.0,Chain_Extender,46.5,Sinapis_Alba_L,Terrestrial_Plant,,,,,Soil,Standard_soil_with_5_compost,Lab,,,3.0,days,Acute,,,,,,,,,,,,,,,,,,-99.72,,,,,,,,,,,,,0,Non_Toxic
4,5,3HB,,,100.0,0.0,0.0,350200.0,g/mol,299316.2393162393,,1.17,Film,,,,,0.15,mm,,,Yes,PHA,44.0,Plasticizer,GS_L,10.0,Natural_Antioxidant,Joncryl_ADR_4468,2.0,Chain_Extender,44.0,Sinapis_Alba_L,Terrestrial_Plant,,,,,Soil,Standard_soil_with_5_compost,Lab,,,3.0,days,Acute,,,,,,,,,,,,,,,,,,-99.54,,,,,,,,,,,,,0,Non_Toxic
4,6,3HB,,,100.0,0.0,0.0,350200.0,g/mol,299316.2393162393,,1.17,Film,,,,,0.15,mm,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Sinapis_Alba_L,Terrestrial_Plant,,,,,Soil,Standard_soil_with_10_compost,Lab,,,3.0,days,Acute,,,,,,,,,,,,,,,,,,-99.81,,,,,,,,,,,,,0,Non_Toxic
4,7,3HB,,,100.0,0.0,0.0,350200.0,g/mol,299316.2393162393,,1.17,Film,,,,,0.15,mm,,,Yes,PHA,50.0,Plasticizer,GS_L,0.0,Natural_Antioxidant,Joncryl_ADR_4468,2.0,Chain_Extender,50.0,Sinapis_Alba_L,Terrestrial_Plant,,,,,Soil,Standard_soil_with_10_compost,Lab,,,3.0,days,Acute,,,,,,,,,,,,,,,,,,-99.56,,,,,,,,,,,,,0,Non_Toxic
4,8,3HB,,,100.0,0.0,0.0,350200.0,g/mol,299316.2393162393,,1.17,Film,,,,,0.15,mm,,,Yes,PHA,48.5,Plasticizer,GS_L,1.0,Natural_Antioxidant,Joncryl_ADR_4468,2.0,Chain_Extender,48.5,Sinapis_Alba_L,Terrestrial_Plant,,,,,Soil,Standard_soil_with_10_compost,Lab,,,3.0,days,Acute,,,,,,,,,,,,,,,,,,-99.25,,,,,,,,,,,,,0,Non_Toxic
